mapping_id,mapping_status,user_topic_id,user_topic_label,user_valid_rows_common_window,developer_topic_id,developer_topic_label,developer_valid_rows_common_window,mapping_rationale,manual_review_status,validation_decision,validation_note
M015,matched,12,Gameplay Complexity,19335,32.0,Game Elements,5158.0,Complexity feedback corresponds to the design and administration of game elements.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M016,matched,42,VR Elements,13775,32.0,Game Elements,5158.0,Direct semantic overlap around in-game VR elements.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M017,matched,14,Hardware Support,23716,30.0,Hardware Optimization,3175.0,User hardware-support concerns correspond to developer hardware optimization.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M018,matched,14,Hardware Support,23716,28.0,Physics & Hardware,5263.0,Both involve hardware capability and integration constraints.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M019,matched,14,Hardware Support,23716,31.0,Compatibility Issues,4204.0,Hardware support often appears as compatibility work on the developer side.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M020,matched,38,Target Tracking,18617,7.0,Object Tracking,4398.0,Tracking concerns directly map to object/tracking implementation discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M021,matched,25,Motion Design,27447,12.0,Interaction Mechanics,4010.0,Motion design affects and is implemented through interaction mechanics.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M022,matched,2,Comfort Issues,20832,5.0,Cybersickness,4490.0,Comfort complaints strongly overlap with cybersickness mitigation.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M023,matched,29,Physical Reactions,18853,5.0,Cybersickness,4490.0,Physical reactions such as dizziness/nausea correspond to cybersickness discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M024,matched,27,Network connect,19575,18.0,Streaming and Mapping,4833.0,Network connectivity feedback corresponds to streaming/mapping infrastructure.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M025,matched,27,Network connect,19575,15.0,Server Management,5885.0,Network reliability depends on server-side configuration and management.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M026,matched,26,Multiplayer,19360,35.0,Multiplayer,3125.0,Direct semantic match on multiplayer experience and implementation.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M027,matched,26,Multiplayer,19360,15.0,Server Management,5885.0,Multiplayer experience depends on server-side support.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M028,matched,17,Installation,19606,17.0,Installation and Setup,4215.0,Direct semantic match on installation/setup workflows.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M029,matched,35,Setup,16211,17.0,Installation and Setup,4215.0,Setup feedback maps to installation and setup work.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M030,matched,28,Performance Issues,20920,29.0,Technical Challenges,3852.0,User performance issues correspond to broader developer technical challenges.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M031,matched,28,Performance Issues,20920,22.0,Troubleshooting,5773.0,Performance problems often trigger troubleshooting discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M032,matched,39,Technical Issues,17371,29.0,Technical Challenges,3852.0,Direct semantic match around technical barriers.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M033,matched,39,Technical Issues,17371,16.0,UE Issues,5192.0,Some user technical issues correspond to engine-specific developer problems.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M034,matched,40,Troubleshooting,19905,22.0,Troubleshooting,5773.0,Direct semantic match on problem diagnosis and resolution.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M035,matched,40,Troubleshooting,19905,21.0,Bug Reporting,8063.0,Troubleshooting often overlaps with reported bugs and fixes.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M036,matched,32,Privacy & Security,25099,8.0,Safety,6129.0,Privacy/security concerns align with broader safety discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M037,matched,19,Kids and Students,17988,26.0,Educational Use,6960.0,Child/student user concerns correspond to educational-use discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M038,matched,23,Linux OS,18627,33.0,Cross-platform,7328.0,Linux support is part of cross-platform compatibility.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M039,matched,24,Mac OS,21350,33.0,Cross-platform,7328.0,Mac support is part of cross-platform compatibility.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M040,matched,24,Mac OS,21350,25.0,IOS Development,4349.0,Apple-platform user concerns partially correspond to iOS development discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M049,matched,15,Horror Game,17692,23.0,Horror Game,3745.0,Direct semantic match on horror-game discussions.,validated_conservative,keep,Retained because the pair has a direct and interpretable user-facing to developer-facing relationship. One-to-many mappings are allowed when each pair is independently meaningful.
M042,user_salient_unmatched,0,Adventure Games,15496,,,,Specific game-genre feedback has no clear developer-side counterpart in the final topic list.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M043,user_salient_unmatched,4,Female Character,21710,,,,Representation-focused user concern is not clearly represented in developer topics.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M044,user_salient_unmatched,5,Game Content,30457,,,,Content/replayability feedback is user-salient but lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M045,user_salient_unmatched,9,Game Story,14724,,,,Story/narrative feedback is user-salient but lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M046,user_salient_unmatched,10,Game Strategy,19616,,,,Gameplay strategy is mainly a user discussion topic.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M047,user_salient_unmatched,11,Game Style,35701,,,,Aesthetic/game-style feedback lacks a direct developer-topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M048,user_salient_unmatched,13,Golfing Game,17527,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M050,user_salient_unmatched,21,LGBTQ,17351,,,,Inclusivity concern is user-salient and largely absent from developer topics.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M051,user_salient_unmatched,30,Play Scale,14143,,,,Play-scale feedback lacks a clear developer-side final topic counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M052,user_salient_unmatched,31,Pricing,33239,,,,Pricing is a user concern without a clear developer-forum counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M053,user_salient_unmatched,33,Rhythm Games,19649,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
M054,user_salient_unmatched,37,Sports Games,18255,,,,Specific game-genre feedback has no clear developer-side counterpart.,validated_conservative,retain_for_gap_discussion_only,Retained as user-salient topics without a clear developer-topic counterpart; excluded from alignment and lag statistics.
