Topic,Keywords,GPT_Label,Definition,Merged_Label,Rows_Common_Window,Valid_Rows_Common_Window
10,"base, him, rush, avoid, songs, possible, length, cause, twists, furniture",Game Strategy,"This topic revolves around discussions related to strategic gameplay such as rushing, avoiding, and engaging with in-game characters, and interacting with virtual environment elements like furniture, along with considerations about game length and soundtrack.",Game Strategy,20063,19616
11,"refuses, done, reloading, precise, pace, jitteriness, style, purple, take, within | dang, cartoonish, tight, later, generic, locked, generally, perfectly, funny, 05",Style Issues | Game Style,"This topic covers discussions on issues related to game performance such as reloading, pace, jitteriness, and style preferences, including specific elements like refusal to load and the color purple, within VR games. | This topic involves discussions about the aesthetic style of VR games (especially cartoonish visuals), gameplay progression (including locked levels or features to be accessed later), humorous elements, and how well these aspects generally fit the players' expectations.",Game Style,36892,35701
12,"entered, hardest, battery, bard, cans, textures, hovering, purchases, involve, thur",Game Difficulty,"This topic discusses the challenges faced when entering new levels, the difficulty of certain games, the use of in-game objects like 'battery', 'bard', 'cans', and 'thur', the quality of game textures, hovering mechanics, in-app purchases, and game elements that involve these keywords.",Gameplay Complexity,20076,19335
13,"breathing, glad, continues, speeds, floor, xr, orders, talking, golfing, game",XR Golfing Experiences,"Discussions about the immersive experiences, including pace and gameplay dynamics, in XR golfing games.",Golfing Game,18327,17527
14,"nvidia, dinosaur, choice, showing, v2, gallery, seven, diablo, beforehand, vehicles",Hardware,"This topic encompasses discussions about the NVIDIA VR hardware, a range of VR games including dinosaur-themed ones, choice-driven games, gallery-style experiences, vehicle simulations, as well as specific games like Diablo and Seven, with some focus on the version 2 (v2) improvements and concept previews (showing beforehand).",Hardware Support,24338,23716
15,"afraid, market, negatives, director, ton, fancy, score, starts, exorcist, magically",VR Horror Game,"This topic discusses the market situation, directorial aspects, scoring systems, and negative points of VR horror games, often with a focus on high-quality, immersive experiences like ""The Exorcist.""",Horror Game,18343,17692
16,"watch, whats, denied, accessible, gsme, darkness, number, mouse, keeper, favorite",Control Style,"This topic involves discussions around accessibility issues in VR games, favorite game selections, and specific game elements such as ""darkness"" and ""mouse keeper"".",Input Methods,16894,16274
17,"engineering, installation, important, levers, advise, sharing, casting, disneyland, points, rebooted",VR Game Installation,"This topic covers discussions and advice sharing about the installation and engineering aspect of VR games, with a focus on important points, levers, and rebooting issues, and occasionally referencing experiences at Disneyland.",Installation,20273,19606
18,"peeking, twitch, cards, grate, finding, claims, hover, brainer, bummer, max",Interaction Techniques,"The discussion about methods and techniques used in VR games, including peeking, finding, claims, and hover, as well as the challenges and advantages associated with these techniques, such as twitching, the use of cards, or dealing with issues like grating or reaching max limits.",Interaction Methods,14811,14373
19,"instant, kids, bois, transfer, download, rave, student, airline, barrel, fundamental",Kids and Students,"This topic covers discussions about instant download and transfer of VR games suitable for kids and students, with references to specific games like 'rave' and 'barrel bois,' and potential uses in settings like virtual airlines.",Kids and Students,18433,17988
20,"entering, interpolation, spray, settlement, excuse, success, chinese, vey, exorcist, vive",Language,"This topic discusses the elements of success, settlement, and gameplay techniques like entering and interpolation, specifically in the VR game 'Exorcist' on the Vive platform, often referencing a spray mechanic and the game's Chinese context.",Language,15472,15100
21,"gay, steam, mediums, pong, ide, expectation, navigator, stacked, easily, effects, diffrent",LGBTQ,"This topic discusses the representation of LGBTQ+ (specifically gay) community in VR games, user expectations, different gaming mediums and effects, and the user interface and navigation, primarily on the Steam platform.",LGBTQ,18033,17351
22,"mentioned, gaming, gloves, travel, pointed, had, wherever, lights, hasn, wave",Light Design,"This topic discusses the use of gloves as controllers in virtual reality gaming, the ability to travel or move within the game, and interaction with light elements, including pointing, waving, and other gestures.",Light Design,22623,22118
23,"judging, demeo, bat, regardless, orders, longer, buttery, when, narratives, linux",Linux,"This topic involves discussions and judgments about the VR game 'Demeo,' specifically focusing on gameplay narratives, control orders, bat character, and its performance on Linux operating systems, with emphasis on visuals and duration of gameplay.",Linux OS,19264,18627
24,"mac, nearly, charging, party, replayable, currently, ask, star, roblox, portable",Mac OS,"This topic focuses on the discussion of portable Virtual Reality (VR) games such as Roblox, with emphasis on charging issues, compatibility with Mac systems, and aspects of replayability and multiplayer parties.",Mac OS,22207,21350
25,"motion, nowhere, thirty, designed, allll, sensible, appear, calibrate, futuristic, fundamental | adjustable, dizzy, footage, hidden, hugely, editor, shoulders, towards, often, locked",Motion Design | Motion Sickness,"This topic covers discussions about the fundamental design of VR games, focusing on motion calibration, the appearance of in-game elements, and futuristic concepts. | This topic discusses the customization options in VR games, such as adjustable settings and hidden features, the use of game footage by editors, and the issues of motion sickness often experienced by players.",Motion Design,28577,27447
26,"salute, multi, put, proof, wanted, simulator, loose, regular, backwards, handles",Multiplayer,"This topic pertains to discussions about the handling, particularly the control mechanisms such as 'saluting' or 'putting', in multiplayer VR salute simulators, as well as issues related to backwards compatibility, loose controls and the need for improvements or proof of concept.",Multiplayer,19844,19360
27,"instance, network, synth, solutions, pirate, three, month, opponents, seconds, gain",Networking Solutions,"This topic covers discussions about networking solutions in VR gaming, particularly focusing on issues related to instance creation, synthetic characters (synth), pirated versions, and game mechanics like gaining opponents and time limits.",Network connect,20115,19575
28,"drop, insane, raving, recently, reloading, benchmark, multilayer, wonky, gamemode, gap",Performance Issues,"This topic involves discussions about issues and recent changes in VR games, particularly related to game modes, reloading mechanics, performance benchmarks, and inconsistencies in multilayer interfaces.",Performance Issues,21863,20920
29,"wrote, 5th, rec, surface, data, drain, newcomers, on, sweating, creature",Physical Reactions,"This topic covers discussions around the physical reactions to VR gameplay, such as sweating, and considerations for newcomers, including data recording, surface interaction, and encountering creatures within the 5th game environment.",Physical Reactions,19265,18853
30,"room, simply, obtain, bigger, silly, german, teamwork, doing, sucks, jokes",Room Scale,"This topic discusses the need for larger play spaces ('room') in VR games, the importance of teamwork in gameplay, and the cultural context (possibly 'German'), along with sentiments about the game's difficulty or enjoyment ('sucks', 'silly'), and the use of humor ('jokes') within the player community.",Play Scale,14706,14143
31,"etc, cause, overpriced, gotten, load, browse, none, victory, equal, greatest | tank, hahaha, ladder, titles, under, prices, comfy, mac, badly, waste",VR Game Pricing | Pricing,"This topic refers to discussions on the perceived overpricing of VR games, issues related to game loading and browsing, and the lack of equal victory opportunities, among other related concerns. | This topic covers discussions regarding the quality, pricing, and comfortability of VR games, particularly focusing on tank-themed titles and their perceived value or waste, with some references to platform compatibility, such as Mac.",Pricing,34304,33239
32,"suspenseful, security, unexpectedly, cheapest, pursue, reply, code, incentive, hook, nock, privacy, alligator",Privacy & Security,"This topic involves discussions around the suspenseful aspects of VR games, unexpected features, security and privacy concerns, as well as incentives and promotional codes offered to attract players.",Privacy & Security,25653,25099
33,"radio, available, seated, rhythm, lackluster, get, indeed, unintuitive, worry, buds",Rhythm Games,"This topic focuses on the discussions around the availability, user experience, and concerns of seated VR rhythm games, including aspects such as the radio feature, unintuitive mechanics, and perceived lackluster quality.",Rhythm Games,20502,19649
34,"scene, spoilers, paths, died, fancy, spend, finishing, plus, odd, deep",Game Progress Discussions,"This topic encompasses conversations about game scenes, spoiler revelations, game paths, character deaths, unusual or unique elements, and discussions on time spent and strategies for finishing deep, intricate VR games.",Scene Design,20279,19797
35,"calibration, knew, scanned, invitations, restart, everything, strings, ive, arnt, turtle",Setup,"This topic covers discussions related to problems and resolutions in the setup and calibration of VR games, including issues with game restarts and scanned inputs.",Setup,16722,16211
36,"pigasus, death, mmos, tech, crisp, gathering, soundtrack, wall, installed, yelling",Sound Design,"This topic encompasses discussions about the technical aspects of VR games like 'Pigasus', 'MMOs', and 'Tech', as well as elements of sound design such as the 'Soundtrack' and 'Yelling', along with issues related to game installation and user experience.",Sound Design,15394,14977
37,"reliever, smb, playlist, streak, ish, aren, port, defend, droids, racket",VR Sports Games,"This topic covers discussions about Virtual Reality sports and defense games, focusing on elements such as streaks, playlists, game ports, and specific games like SMB and Droids.",Sports Games,19009,18255
38,"designed, immerses, pitch, afraid, roam, track, streets, rendered, invite, gadgeteer",Tracking,"This topic discusses the design elements that contribute to immersion in VR games, including the ability to roam and track movements in rendered environments, with a specific mention of the game 'Gadgeteer', and the emotional responses these elements can elicit.",Target Tracking,19412,18617
39,"strangers, assault, geforce, first, stomach, pause, champion, needed, walls, greens",Technical Issues,"This topic covers discussions about interactions with strangers in VR games, instances of virtual assault, use of Nvidia's GeForce for VR gaming, first-time player experiences and issues like stomach discomfort, the need for pause function, champion characters, wall glitches, and graphic settings like greens.",Technical Issues,17982,17371
40,"program, googling, denied, create, gsme, message, suggestion, issues, unlocks, filled",Troubleshooting,"This topic covers discussions related to encountering, identifying, and resolving issues in VR games, including error messages, program denials, unlocking content, and seeking or suggesting solutions.",Troubleshooting,20541,19905
41,"downloading, sounded, underwhelming, gladly, 70, absolute, scope, adventure, policy, ui",UI Design,"This topic discusses players' experiences with downloading VR games, their initial impressions (often underwhelming), their willingness to pay around 70 units of currency for a truly expansive adventure, and the user interface and policy issues they encounter.",UI Design,18922,18191
42,"leaderboards, login, haunted, always, stages, location, ck, aspect, shed, works",VR Game Elements,"This topic refers to discussions about various elements and features of VR games, including leaderboards, login mechanisms, stages, locations, and specific aspects like 'haunted' themes or settings, as well as technical aspects like how the game works.",VR Elements,14303,13775
