Review_ID,Text,Dominant_Topic,Top_Keywords
18,rough recommend need strong vr leg first feel like vr afterthought first thing happen tumbl massiv height control arm hand never gain control either theyr stuck one posit entir top physic move doesnt move charact frequent see insid bodi reset camread moreera posit annoy despit list oculu touch compat button need remap dont work default also visual glitch look cool anim fast also caus nausea comfort scale technic issu past get game theme premis upload mind cloud avoid death becom corrupt isnt new concept game alway feel fun uniqu case weak premis never said anyth meaning moral idea way mention religion frequent without say anyth profound lip servic look cool flash substanc yet still cool let talk gameplay occasion fun puzzl simpl easi point theyr puzzl sequenc event follow lot puzzl wander around find puzzl piec there thought process behind there also quit lot backtrack didnt want play second level hub world push anoth two world fair wale interact made amaz game thoroughli enjoy soul axiom isnt one,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
19,playabl cant get past languag screen thing that work touch pad one control switch languag cant select tri button look direct noth,12,"wwii, bland, audica, pirat, introductori, fan, wonder, oper, dare, viewer"
20,work start new open credit trap menu option pick resum new exit etc make pop nois return menu,14,"return, stone, sooth, boggl, explor, translat, gag, suspens, three, bond"
21,love way short,20,"powerbeat, firstperson, watch, nope, satur, memor, invit, choos, puzzler, wonderful"
22,polish bow shooter well worth monthli subscript explor first two stage easi easi tri next stage medium difficulti graphic ultra high set still cartoonish still eye pleas knock far teleport method intuit player look next hop perhap uniqu color crane know go,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
23,fun wish hard wasnt hard,17,"moreon, unrealist, turret, smoke, stream, suffer, underr, blah, encourag, ago"
24,fan watch year super hero like green arrow hawkey stood shadow superman iron man phaser lock interact bombast take genr realli show underappreci skill bow truli lot option choos bow arrow genr arcad action shooter vr arent mani go toetoto intens fieri explosionfil tour citi brink chao,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
25,one new favorit game,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
26,great everyth first tri vr far still favorit great mechan great arrow option haptic feedback bow allow place hide time shoot around corner exactli one would real life,29,"hide, curs, detail, consum, yknow, burn, frequent, kid, abruptli, il"
27,absolutli fantast,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
28,innov bring bow arrow nd centuri great level design lose boss fight whole level,10,"unfortunatley, whovian, toy, weari, public, ride, took, began, soundself, absolut"
29,one good old arcad style fun great graphic good menu system big explos quick pace arrow system pretti good fun nice work,34,"resourc, lo, command, almost, bone, grindi, burger, exit, exe, shadow"
30,fun suprisingli substanti graphic basic well drawn mission right difficulti,45,"vast, email, corrupt, utterli, uncontrol, sensit, manag, deal, sincer, seper"
31,love one favourit zombi dont seem fit least engag aspect,19,"minu, fall, descript, revamp, catalog, click, calm, bare, juli, metal"
32,fun trueli like one slight issu mean affraid height buy vr game come warn dont wast money arent affraid height go awar crane arm hundr feet ground dont real issu height even gave didnt seem need long run that what go ot hurt,20,"powerbeat, firstperson, watch, nope, satur, memor, invit, choos, puzzler, wonderful"
33,love bow action mission inspir great fun,10,"unfortunatley, whovian, toy, weari, public, ride, took, began, soundself, absolut"
34,ruin poor level designth movement system repeadetli forc jump middl group enemi instead pick around corner teleport node placement also teleport node suddenli disapear mid combat checkpoint even boss battl realli like bow arrow game vr one huge letdown,20,"powerbeat, firstperson, watch, nope, satur, memor, invit, choos, puzzler, wonderful"
35,sdettest process,41,"viread, irrit, trojan, appl, ever, unfortunatelli, suitabl, jai, skirt, encount"
36,nice cool control give awesom experi pali shot differ type bowl action,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
37,cool graphicsgreat vr experi play easi play flexibl shot,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
38,love look forward see next version,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
39,well experienc play,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
40,task could make entertain,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
41,realli enjoy vr cricket great fun especi face fast shot would love see develop eg instanc presenc fielder would forc choos shot care,31,"mejor, stiff, plagu, dope, mag, squad, plush, coop, bullshit, janki"
42,ofcours good start make lot chang hit six hand aswel someth like precit etc lack,27,"stash, wack, mous, urgenc, fp, understand, playbl, truli, sourc, absorb"
43,compar vr cricket subscrib last month astoundingli incomplet prematur releas pleas someon tell get hold previou name thoroughli enjoy work continent championship current vr cricket lack almost realism calibr bat mechan fielder comment competit challeng anyth besid practic bowl machin read morereadi insult wast money subscript credit,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
44,mix strategi tower defens battl arena protect stronghold tri destroy enemi even faster differ map minion weapon get pretti repetit quickli fun probabl would even friend compet,27,"stash, wack, mous, urgenc, fp, understand, playbl, truli, sourc, absorb"
45,great blend rt moba strategi could use bit varieti unit map great style polish make easi keep come back,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
46,see full review fun vs stratergi ultim found fun outsid vr fashion,15,"unsatisfi, downward, lefti, skill, pov, increment, tribut, alien, cheap, vs"
47,gameplay strategi quit basic fun bit deep becom samey quickli,49,"upon, sin, invis, underwelm, concern, eras, withread, trueli, rebirth, dosnt"
48,enjoy gameplay whole thought realli fun almost everi singl time tri boot menu becom unclick issu follow game leav sour tast mouth come back know fix issu,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
49,museum multivers beauti immers world wish could live art music gorgeou ill replay,39,"teaser, buri, consol, yay, astray, beer, conquer, morend, began, radic"
50,trippi adventur art,33,"secret, twilight, websit, steadi, requir, ui, redirect, flipper, ven, gb"
51,doesnt score right cant make head tail system,29,"hide, curs, detail, consum, yknow, burn, frequent, kid, abruptli, il"
52,version number first version feel like alpha earli access pshycic doesnt yet well,28,"recogn, weirdli, bond, latest, pump, explan, ui, tie, sink, cosmo"
53,rather enjoy reminic atanti solv puzzl find part helix,19,"minu, fall, descript, revamp, catalog, click, calm, bare, juli, metal"
54,initi gave bad review look like couldnt play vive pro howev found simpl fix internet need chang data skip tutori past found scenario creativ imagin case here fix modifi save file text editor notepad work fine appdatalocallowsvrv studiossvrv deu helixuserdata save file name random number end gamedat filread more chang totalprogress instead youll abl select next level lewi basement main menu tri chang checkpoint valu well,21,"spanish, blood, programm, dark, signifi, inifin, moment, uniti, child, time"
55,great escap room experi mayb could hint stuck,29,"hide, curs, detail, consum, yknow, burn, frequent, kid, abruptli, il"
56,jump scare despit ambianc first level hour puzzl solv right difficulti sure gb disk see whole thing stori end cliffhang,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
57,took stop talk get challeng,33,"secret, twilight, websit, steadi, requir, ui, redirect, flipper, ven, gb"
58,support window mr control even reviv,17,"moreon, unrealist, turret, smoke, stream, suffer, underr, blah, encourag, ago"
59,crash first mission load oculu quest link,0,"simplic, youread, score, worth, teh, suitabl, skywrit, cosmet, buy, freeli"
60,visual ok wmr samsung odyssey control work,24,"stream, ride, wannab, cute, mhz, cgi, yall, ai, upper, promis"
61,got far grab control would never come tabl turn one hand,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
62,wouldnt work couldnt pick control start seem game issu use vive pro check onlin,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
63,work vive pro get control work work around edit file bunch bs,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
64,pick one subscript game unplay tell grab control mater approach control direct click click hold button stuck forev frustrat could play,47,"host, weather, shock, technolog, spook, greatest, potion, night, pure, illumin"
65,great escap room hour content,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
66,surprisingli good despit rather gener titl quit bit effort pack three environ loos interlink bit stori told via comic book panel environ uniqu feel doesnt recycl puzzl previou environ puzzl also welcom element challeng good chanc wont beat first tri min time limit ran read moreminor glitch frustrat noth problemat end,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
67,great compris seper yet somewhat relat vr room level level complex problem solvabl logic time level take attempt complet close min durat buck certainli get money worth construct critic side cartoon compon seem add valu make longer collis object hand frustratingread hit object teleport mani case beem somewher unretreiv forc quit need restart quit option said done fun despit bug quirk thoroughli enjoy well worth download,29,"hide, curs, detail, consum, yknow, burn, frequent, kid, abruptli, il"
68,nice,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
69,control ruin realli enjoy ruin teleport realli tricki get right place bend gener end put head insid thing make view go black hand right oreint need rotat degre realli put floor right place cannot get right place matter occas end close sinc noread ingam menu start due drop someth floor wife realli enjoy aar still play despit bug would star wasnt problem would also nice non time mode peopl good control also enjoy vr parti ect,16,"tradit, neutral, slurpi, women, trash, sfx, way, nail, creation, surfac"
70,teleportonli control make almost imposs get right posit unless play roomscal fustat pick anyth ground reach cupboard hand orient make insert key fiddli would pretti solid escap room werent forc use teleport movement option adjust bright set,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
71,full bug couldnt even finish play horribl unfortun puzzl interest storylin decent,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
72,handl realli bad frustrat make hard focu play,30,"drag, face, hungri, rapidli, unobtrus, plummet, internet, ladi, field, temp"
73,damn there like million activ minigam fill mansion graphic arent great bad either physic good enough iirc realli someth everyon paint archeri umm climb shoot that jam climb wall els maze stuff dunno everyth,16,"tradit, neutral, slurpi, women, trash, sfx, way, nail, creation, surfac"
74,sdettest,45,"vast, email, corrupt, utterli, uncontrol, sensit, manag, deal, sincer, seper"
75,everyth look beauti lot fun room problem encount far item littl tabl tenni paddl inch hand ball made imposs play honestli min get experi hardli anyth environ offer use oculu quest combin virtal desktop experi vr thread morerough viveport laptop msi stealth thin help narrow possibl fix updat come across issu,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
76,great choreographi game central strength plu simpl gameplay mechan full bodi danc contrast powerbeat vr punch beat never felt like danc like titl,15,"unsatisfi, downward, lefti, skill, pov, increment, tribut, alien, cheap, vs"
77,cannot even press acknowledg button health warn want money back fix,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
78,shart aka shati fart al way gmaw,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
79,fun multiplay experi resent memori,5,"vice, circuit, hypatia, whenev, visit, admiss, rickshaw, neon, thoughtout, moreg"
80,good updat peopl play,12,"wwii, bland, audica, pirat, introductori, fan, wonder, oper, dare, viewer"
81,solid vr would recommend anyon look horror simpl challeng anyon look play solo friend mechan difficult start master lot fun play,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
82,cool even steam,48,"thatd, english, muffl, moreoth, wonderful, son, man, beuti, shread, playstat"
83,phasmaphobia earli access quit flesh get environment psycholog horror scienc even may danger feel asens impend doom may overwhelm spend get set find ghost within varieti map use tool decid room ghost tool scan help use correctli anger ghost make tri huntkil read morey playabl yearround titl definit activ around halloween,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
84,amaz multiplay work vr standard player play friend even dont vr still earli access bug expect work alreadi put great base build scari,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
85,one best game ive play far still develop damn scari,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
86,plz updat plz cant play boi,36,"bear, disc, straightforward, saturn, janu, eu, nostalg, subscribt, dirti, extraordinari"
87,play mous keyboard,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
88,show great promis still earli releas fair share bug notabl vr height adjust unabl get anyth ground accid drop either seat stand would realli benefit height sens adjust like game also ai certain ghost glitchi expect get better time one ghost went djinn decid interest walk wall bother read moreu suggest would weapon like supernatur thing like iron poker fight ghost machet chop undead head ga match burn bone would also fun devil trap imprison ghost advanc mechan salt allow better way trap ghost could also benefit outdoor map graveyard catacomb seasid fish villag ala cthulhu haunt forest like blair witch underground cavern stand hoot realli need snappi dialogu respons deceas,20,"powerbeat, firstperson, watch, nope, satur, memor, invit, choos, puzzler, wonderful"
89,steam realli great earli access person,38,"vrigad, inclin, path, splash, pair, microsoft, aud, incomplet, starway, vrexperi"
90,pretti darn scari like one tri look player tell one im one onlin,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
91,cant find play,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
92,paid look awesom reinstal time high end system get audio grey screen headset pc screen get stuck headset splashscreen,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
93,dont work creat server pleas fix,26,"fairli, goofi, ich, knive, comput, ther, kitchen, placement, instal, vocal"
94,fun demo seem pretti polish,14,"return, stone, sooth, boggl, explor, translat, gag, suspens, three, bond"
95,cool tri free version,27,"stash, wack, mous, urgenc, fp, understand, playbl, truli, sourc, absorb"
96,polish fun pine full experi,1,"exper, spectacular, solitair, straight, wipe, minigolf, trooper, spin, french, school"
97,impress show sure wave shooter good one think well realli super fun anyth product valu high much western version boil steel everyth technic similar wonder prefac differ demo,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
98,excel shooter,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
99,fun tire good shooter nervou accur,24,"stream, ride, wannab, cute, mhz, cgi, yall, ai, upper, promis"
100,woulnt even start wast time dont even bother,22,"rotor, bullsht, exce, miss, creat, unreal, knew, scariest, expert, medium"
101,wow fun son love,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
102,immers amaz sandbox quest core mechan solid ran littl choppi ik gtx,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
103,second updat latest updat absolut broken perform wors ever three enemi screen caus whole stutter insuffer dont know what go god sake dont ruin amaz bad code come guy updat im notic updat lag behind steamvr big updat week ago still wait kinda irrit like viveport foread morer secondclass player,48,"thatd, english, muffl, moreoth, wonderful, son, man, beuti, shread, playstat"
104,high hope issuessnap turn smooth turnwhen fli lose peripher vision realli stinksweb bunge hand would ok new vrbut experienc,22,"rotor, bullsht, exce, miss, creat, unreal, knew, scariest, expert, medium"
105,bad thing level want much,41,"viread, irrit, trojan, appl, ever, unfortunatelli, suitabl, jai, skirt, encount"
106,excel first journey escap room type alreadi found standard compar other stori well though puzzl rang easi intric well done,45,"vast, email, corrupt, utterli, uncontrol, sensit, manag, deal, sincer, seper"
107,realli fun puzzl puzzl arent hard hint system realli great point right place look stuck without tell answer like start pretti straight quickli goe quit cthulu freaki realli enjoy puzzl thing manipul lever switch realli nice use scale puzzl ala fisherman tale yep type probabl woulread morednt normal look pay full price make great addit viveport infin improv think would make would make eyepiec somehow part glass could turn move hand near face wouldnt cool could switch lens like cool spectacl movi hellboy golden armi yep recommend,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
108,love wouldnt mind counter someth tell mani time need hint think,16,"tradit, neutral, slurpi, women, trash, sfx, way, nail, creation, surfac"
109,fantast,30,"drag, face, hungri, rapidli, unobtrus, plummet, internet, ladi, field, temp"
110,look polish vr control work pretti well sometim thing get littl finnicki noth annoy good time solv puzzl arent realli hard mostli hope make vr puzzler like one,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
111,great good puzzl challeng crazi hard use vive graphic beauti,41,"viread, irrit, trojan, appl, ever, unfortunatelli, suitabl, jai, skirt, encount"
112,first download vr freakin awesom everyth hope would want like,5,"vice, circuit, hypatia, whenev, visit, admiss, rickshaw, neon, thoughtout, moreg"
113,begun deep journey vr first download got say everi develop take notic expertli develop quickli becom one top ten favorit game time,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
114,want room puzzl game vr pleas pleas pleas,41,"viread, irrit, trojan, appl, ever, unfortunatelli, suitabl, jai, skirt, encount"
115,awesom puzzl enjoy start finish,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
116,easili best escap room asid expect die puzzl cleaver satisfi importantli sens your someth right surpris doesnt work progress point look gorgeou like escap room perfect,24,"stream, ride, wannab, cute, mhz, cgi, yall, ai, upper, promis"
117,absolut love thank well done,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
118,great good puzl engoy much look forward folow,33,"secret, twilight, websit, steadi, requir, ui, redirect, flipper, ven, gb"
119,final escap room hang time enjoy ambianc atmospher art work refin riddl even solv puzzl could escap magic,39,"teaser, buri, consol, yay, astray, beer, conquer, morend, began, radic"
120,good quest sane riddl smooth gameplay,7,"moreion, topnotch, goggl, public, regularli, fantahorn, eread, signifi, home, vfr"
121,kudo fireproof game take time make solid vr room franchis feel like solid nativ vr lazi shortcut taken make quick buck everyth feel design ground vr aaa qualiti place wouldnt person mind replay previou room game vr redon ground vr like one,35,"moref, minigolf, tweak, pitfal, winki, builder, absurd, right, bounc, level"
122,realli one uniqu fun vr experi great intro vr made puzzl challeng enough keep hook imposs realli blast play highli recommend one,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
123,best room escap vr ever thank awesom content,12,"wwii, bland, audica, pirat, introductori, fan, wonder, oper, dare, viewer"
124,love kind game vr ist amaz,47,"host, weather, shock, technolog, spook, greatest, potion, night, pure, illumin"
125,brilliant love organ puzzl thing realli got stuck,49,"upon, sin, invis, underwelm, concern, eras, withread, trueli, rebirth, dosnt"
126,pretti cool retain lot charm atmospher mobil game new vr take whole thing didnt find lean hint system much moment found wander tri work proceed,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
127,fantast puzzl challeng without make smash head stori intrigu enjoy twist toward end hint system help get stuck without blatantli give away puzzl hope make anoth one,9,"wo, stuck, slowpac, holobal, contact, close, difficult, mored, bang, antiviru"
128,usual type say realli enjoy thisplay start finish well polish,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
129,excel adventur captur imagin excel graphic smooth user interfac,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
130,great perfect mysteri like teleport amaz,38,"vrigad, inclin, path, splash, pair, microsoft, aud, incomplet, starway, vrexperi"
131,fun consum highli recommend noth caus nausea lot think noth obscur say stuck box look rope side miss minut,6,"lightn, impress, exactli, channel, romp, problem, underwhelm, ss, commun, twilight"
132,perfect mysteri boy enjoy,13,"craft, gamplay, hit, surround, chest, sprint, stop, hyper, spoilershint, noninteract"
133,dont like teleport game amaz stori puzzl keep come back,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
134,best puzzl ive found vr yet,12,"wwii, bland, audica, pirat, introductori, fan, wonder, oper, dare, viewer"
135,awesom vr platform puzzl decent tricki work dad great time work togeth thank creat would love see,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
136,absolut amaz hope find like,3,"shooti, partak, viread, acceler, brother, noth, gaug, soud, mor, blue"
137,absolut fantast like smartphon version,30,"drag, face, hungri, rapidli, unobtrus, plummet, internet, ladi, field, temp"
138,like one play phone feel tad bit sad end good hope fireproof continu produc game like,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
139,quit fun interest realli tri,32,"batman, acer, stegosauru, moreour, paid, period, bold, gave, two, terrif"
140,great visual nice right amount challeng,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
141,dont usual spend lot time puzzl game much less escap room genr wonder definit must play recommend,45,"vast, email, corrupt, utterli, uncontrol, sensit, manag, deal, sincer, seper"
142,like prior game platform even engag realli hope team produc sequel two three definit one best vr experi ive date,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
143,fantast realli enjoy puzzl clever rather frustrat relali couldnt fault look forward,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
144,truli awesom experi gorgeou graphic like non vr version well put togeth quit hard,43,"von, five, accident, week, natur, industri, musicrhythm, russian, extrem, viveport"
145,puzzl game usual like puzzl realli dumb answer dont intuit make sens well put togeth puzzl cleverli put togeth great,39,"teaser, buri, consol, yay, astray, beer, conquer, morend, began, radic"
146,great lovecraft like escap room experi love want,38,"vrigad, inclin, path, splash, pair, microsoft, aud, incomplet, starway, vrexperi"
147,love everi minut gave real broken sword vibe,38,"vrigad, inclin, path, splash, pair, microsoft, aud, incomplet, starway, vrexperi"
148,favorit puzzl vr total stroke urg solv compex puzzl box without need spend singl box,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
149,best escap room puzzel like,28,"recogn, weirdli, bond, latest, pump, explan, ui, tie, sink, cosmo"
150,word,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
151,superb addit franchis ad atmospher vr cant underst hope isnt long see sequel,20,"powerbeat, firstperson, watch, nope, satur, memor, invit, choos, puzzler, wonderful"
152,best puzzl ever play wow,23,"usb, aswel, insight, promiss, worthi, recapthca, realworld, million, thiev, couldnt"
153,definit one top vr game super engross thought well design world great sound design puzzl design highli reccomend,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
154,got engross compltet one set longest reali feel qualiti quantiti scenario,8,"racket, dof, studder, gore, stop, trough, spellcast, archer, crystal, inner"
155,fantast vr puzzl great environ music realli good first vr finish highli reccomend,8,"racket, dof, studder, gore, stop, trough, spellcast, archer, crystal, inner"
156,great brought back good old day use play adventur pointandclick puzl game stori interest puzzl fun visual pretti cool decent graphic control simpl pretti smooth overal highli recommend like puzzl andor scape room,25,"supris, hurri, branch, novic, soak, anyon, mustplay, alsread, biggest, violenc"
157,nice enviro riddl vr hope new chapter,14,"return, stone, sooth, boggl, explor, translat, gag, suspens, three, bond"
158,well done tricki enough keep think without obscur need guid,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
159,big fan room seri mani year introduc vr someth made puzzl genr even better fantast stori usual puzzl rang easi complex none test patienc hint system nice touch doesnt quit hold hand fulli masterclass atmospher puzzl good develop easili,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
160,german english ein unglaublich toll und unterhaltsam spiel ich habe da spiel sehr gern gespielt die programmier haben hier viel herzblut da spiel mit einflieen lassen zum teil war es gruselig dass ich heftig gnsehaut hatt toll spiel sehr gut gemacht gern mehr davon english incred great fun love play programm put lot heart soul sometim scari sever goos bump great read morematch well done like,4,"moreil, nois, function, emul, she, promot, temp, grafic, gori, unclimb"
161,good puzzl hard enough wont breez though whole hint enough stuck give way,11,"portray, primarili, kread, rariti, around, nice, rid, soundtrack, preset, tedious"
162,best puzzleescap room play vr graphic done well difficulti easi hint need hope develop work sequel,12,"wwii, bland, audica, pirat, introductori, fan, wonder, oper, dare, viewer"
163,compet immers fun puzzl couldnt put highli recommend,44,"disappoint, trend, asset, keeper, tini, twitch, frighten, under, swap, mysteri"
164,great fantast graphic puzzl,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
165,definit one best game ive play vr stori engag puzzl difficult enough frustrat,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
166,met expect room also great experi vr anyon pickup get pretti easili definit must room escap enthusiast thing would note wish quick trigger turn len easier cumbersom use time realli think access,46,"ingam, complaint, avoid, proport, sprite, distant, ma, respons, count, shown"
167,love set pick amaz incred immers engag love puzzlessom easier other hint system work perfectli time need atmospher mind blow also first vr actual finish control work great entir time play intuit proceed one step next would love type game realli realli amaziread moreng handsdown best ive play vr date,8,"racket, dof, studder, gore, stop, trough, spellcast, archer, crystal, inner"
168,espectacular fashion room game also give nice touch vr realm puzzl appeal engag set up environ get stori final thing didnt like top vr stori,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
169,true room fashion provid yet anoth masterpiec vr implement amaz mobil absolut amaz love everi minut,47,"host, weather, shock, technolog, spook, greatest, potion, night, pure, illumin"
170,realli enjoy like puzzl dum satisfi find solut overal enjoy,9,"wo, stuck, slowpac, holobal, contact, close, difficult, mored, bang, antiviru"
171,star wish longer ish hour room game ipad one good better realli hope continu focu vr releas sequel,18,"wanna, consist, utterli, drop, intut, end, monthli, fireproof, weight, fatal"
