Topic	Keywords	GPT_Label	Definition	Merged_GPT_Label
19	"peeking, twitch, cards, grate, finding, claims, hover, brainer, bummer, max"	Interaction Techniques	"The discussion about methods and techniques used in VR games, including peeking, finding, claims, and hover, as well as the challenges and advantages associated with these techniques, such as twitching, the use of cards, or dealing with issues like grating or reaching max limits."	Interaction Techniques
20	"mag, apple, royale, misses, ice, warning, sensible, allow, trios, magically"	Mechanics	"This topic focuses on various elements in VR games such as game mechanics, player warnings, and special features, specifically highlighting elements like magic, trio team play, and 'misses' or game errors."	Mechanics Gameplay Mechanics
21	"reliever, smb, playlist, streak, ish, aren, port, defend, droids, racket"	VR Sports Games	"This topic covers discussions about Virtual Reality sports and defense games, focusing on elements such as streaks, playlists, game ports, and specific games like SMB and Droids."	VR Sports Games
22	"going, cv1, child, wondered, comment, google, houses, colorful, changing, graphic"	VR Graphics	"This topic focuses on discussions around the graphic quality of VR games, specifically in relation to colorful and changing environments, and the application of these features in creating child-friendly virtual experiences."	
23	"salute, multi, put, proof, wanted, simulator, loose, regular, backwards, handles"	Multiplayer	"This topic pertains to discussions about the handling, particularly the control mechanisms such as 'saluting' or 'putting', in multiplayer VR salute simulators, as well as issues related to backwards compatibility, loose controls and the need for improvements or proof of concept."	Multiplayer
24	"etc, cause, overpriced, gotten, load, browse, none, victory, equal, greatest"	VR Game Pricing	"This topic refers to discussions on the perceived overpricing of VR games, issues related to game loading and browsing, and the lack of equal victory opportunities, among other related concerns."	VR Game Pricing Pricing 
25	"mentioned, gaming, gloves, travel, pointed, had, wherever, lights, hasn, wave"	Light Design	"This topic discusses the use of gloves as controllers in virtual reality gaming, the ability to travel or move within the game, and interaction with light elements, including pointing, waving, and other gestures."	Light Design
26	"room, simply, obtain, bigger, silly, german, teamwork, doing, sucks, jokes"	Room Scale 	"This topic discusses the need for larger play spaces ('room') in VR games, the importance of teamwork in gameplay, and the cultural context (possibly 'German'), along with sentiments about the game's difficulty or enjoyment ('sucks', 'silly'), and the use of humor ('jokes') within the player community."	Room Scale 
27	"rolls, boss, controls, sit, success, cap, uncomfortable, repeatedly, likes, paying"	Comfort Issues	"This topic covers discussions related to the control mechanisms in VR games, the discomfort some players might experience, and strategies for success, particularly in boss fights or when performing repeated actions."	Comfort Issues
28	"leaderboards, login, haunted, always, stages, location, ck, aspect, shed, works"	VR Game Elements	"This topic refers to discussions about various elements and features of VR games, including leaderboards, login mechanisms, stages, locations, and specific aspects like 'haunted' themes or settings, as well as technical aspects like how the game works."	VR Elements
29	"wounds, display, respective, stories, rage, sub, context, strategize, chatting, everyone"	Game Story 	"This topic covers discussions about strategizing and communicating in VR gaming, particularly in the context of story-driven games where players handle virtual wounds, and share their respective experiences and frustrations (rage)."	Game Story 
30	"entered, hardest, battery, bard, cans, textures, hovering, purchases, involve, thur"	Game Difficulty 	"This topic discusses the challenges faced when entering new levels, the difficulty of certain games, the use of in-game objects like 'battery', 'bard', 'cans', and 'thur', the quality of game textures, hovering mechanics, in-app purchases, and game elements that involve these keywords."	Game Difficulty 
31	"dang, cartoonish, tight, later, generic, locked, generally, perfectly, funny, 05"	Game Style 	"This topic involves discussions about the aesthetic style of VR games (especially cartoonish visuals), gameplay progression (including locked levels or features to be accessed later), humorous elements, and how well these aspects generally fit the players' expectations."	
32	"adjustable, dizzy, footage, hidden, hugely, editor, shoulders, towards, often, locked"	Motion Sickness	"This topic discusses the customization options in VR games, such as adjustable settings and hidden features, the use of game footage by editors, and the issues of motion sickness often experienced by players."	
33	"breathing, glad, continues, speeds, floor, xr, orders, talking, golfing, game"	XR Golfing Experiences	"Discussions about the immersive experiences, including pace and gameplay dynamics, in XR golfing games."	VR Golfing Game
34	"program, googling, denied, create, gsme, message, suggestion, issues, unlocks, filled"	Troubleshooting 	"This topic covers discussions related to encountering, identifying, and resolving issues in VR games, including error messages, program denials, unlocking content, and seeking or suggesting solutions."	Troubleshooting 
35	"designed, immerses, pitch, afraid, roam, track, streets, rendered, invite, gadgeteer"	Tracking	"This topic discusses the design elements that contribute to immersion in VR games, including the ability to roam and track movements in rendered environments, with a specific mention of the game 'Gadgeteer', and the emotional responses these elements can elicit."	Tracking
36	"instant, kids, bois, transfer, download, rave, student, airline, barrel, fundamental"	Kids and Students	"This topic covers discussions about instant download and transfer of VR games suitable for kids and students, with references to specific games like 'rave' and 'barrel bois,' and potential uses in settings like virtual airlines."	Kids and Students
37	"suspenseful, security, unexpectedly, cheapest, pursue, reply, code, incentive, hook, nock, privacy, alligator"	Privacy & Security 	"This topic involves discussions around the suspenseful aspects of VR games, unexpected features, security and privacy concerns, as well as incentives and promotional codes offered to attract players."	Privacy & Security 
38	"wrote, 5th, rec, surface, data, drain, newcomers, on, sweating, creature"	Physical Reactions	"This topic covers discussions around the physical reactions to VR gameplay, such as sweating, and considerations for newcomers, including data recording, surface interaction, and encountering creatures within the 5th game environment."	Physical Reactions
39	"radio, available, seated, rhythm, lackluster, get, indeed, unintuitive, worry, buds"	Rhythm Games	"This topic focuses on the discussions around the availability, user experience, and concerns of seated VR rhythm games, including aspects such as the radio feature, unintuitive mechanics, and perceived lackluster quality."	Rhythm Games
40	"watch, whats, denied, accessible, gsme, darkness, number, mouse, keeper, favorite"	Control Style	"This topic involves discussions around accessibility issues in VR games, favorite game selections, and specific game elements such as ""darkness"" and ""mouse keeper""."	Control Style
41	"afraid, market, negatives, director, ton, fancy, score, starts, exorcist, magically"	VR Horror Game 	"This topic discusses the market situation, directorial aspects, scoring systems, and negative points of VR horror games, often with a focus on high-quality, immersive experiences like ""The Exorcist."""	VR Horror Game 
42	"calibration, knew, scanned, invitations, restart, everything, strings, ive, arnt, turtle"	Setup 	"This topic covers discussions related to problems and resolutions in the setup and calibration of VR games, including issues with game restarts and scanned inputs."	Setup 
43	"tank, hahaha, ladder, titles, under, prices, comfy, mac, badly, waste"	Pricing 	"This topic covers discussions regarding the quality, pricing, and comfortability of VR games, particularly focusing on tank-themed titles and their perceived value or waste, with some references to platform compatibility, such as Mac."	
44	"gay, steam, mediums, pong, ide, expectation, navigator, stacked, easily, effects, diffrent"	LGBTQ	"This topic discusses the representation of LGBTQ+ (specifically gay) community in VR games, user expectations, different gaming mediums and effects, and the user interface and navigation, primarily on the Steam platform."	LGBTQ
45	"primarily, amazing, 2hrs, spoilers, pistols, inappropriate, camp, worlds, instead, abandoned"	Game Content 	"This topic explores player discussions about the amazing experiences in VR gaming, particularly in regards to specific games with elements like pistols and camps, the appropriateness of certain content, and instances of abandoning game worlds after around 2 hours of gameplay."	
46	"gym, mags, against, conditions, liking, developer, armor, luck, blend, cops"	Gameplay Mechanics	"This topic is about the discussions on various aspects of VR games, including game elements like gyms, mags, armor, and cops, game conditions, player's liking, and the role of luck, with a special focus on developer's choices and how they blend these elements together."	
47	"pigasus, death, mmos, tech, crisp, gathering, soundtrack, wall, installed, yelling"	Sound Design	"This topic encompasses discussions about the technical aspects of VR games like 'Pigasus', 'MMOs', and 'Tech', as well as elements of sound design such as the 'Soundtrack' and 'Yelling', along with issues related to game installation and user experience."	Sound Design
48	"instance, network, synth, solutions, pirate, three, month, opponents, seconds, gain"	Networking Solutions 	"This topic covers discussions about networking solutions in VR gaming, particularly focusing on issues related to instance creation, synthetic characters (synth), pirated versions, and game mechanics like gaining opponents and time limits."	Networking Solutions 
49	"base, him, rush, avoid, songs, possible, length, cause, twists, furniture"	Game Strategy	"This topic revolves around discussions related to strategic gameplay such as rushing, avoiding, and engaging with in-game characters, and interacting with virtual environment elements like furniture, along with considerations about game length and soundtrack."	Game Strategy
